epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.516,1.02865,4.41615,0.01118,0,0,0,0,1.391,5.68604,0.01899,0.00028,0.00028,0.07228
2,237.193,0.91521,1.99211,0.01057,0.5,0.00806,0.0075,0.00675,0.74255,4.98852,0.0104,0.000569443,0.000569443,0.0435694
3,341.33,0.84751,1.61257,0.00957,0.20833,0.87267,0.61056,0.48998,0.82613,3.04921,0.01238,0.000856643,0.000856643,0.0148566
4,461.987,0.83291,1.44649,0.00935,0.72061,0.63713,0.74248,0.60182,0.77673,1.54459,0.01163,0.000991232,0.000991232,0.000991232
5,553.482,0.81804,1.19612,0.00959,0.68034,0.72835,0.77193,0.59781,0.89431,1.23895,0.01477,0.000984449,0.000984449,0.000984449
6,646.412,0.8855,1.19857,0.01029,0.6392,0.69397,0.74093,0.58347,0.82826,1.12967,0.01515,0.000975773,0.000975773,0.000975773
7,739.452,0.81805,1.05237,0.00963,0.75758,0.76273,0.84781,0.62745,0.92789,1.08765,0.01614,0.000965239,0.000965239,0.000965239
8,833.443,0.85248,0.99211,0.00934,0.78126,0.77674,0.84516,0.6641,0.94284,0.92493,0.01428,0.000952889,0.000952889,0.000952889
9,928.184,0.81213,0.9631,0.00983,0.75752,0.81566,0.8903,0.67996,1.00835,0.87637,0.01571,0.000938772,0.000938772,0.000938772
10,1027.92,0.80444,0.88058,0.00912,0.71569,0.84762,0.84156,0.64665,0.94422,0.8384,0.01446,0.000922942,0.000922942,0.000922942
11,1123.26,0.77549,0.77161,0.00851,0.8167,0.85306,0.91711,0.74175,0.80323,0.65882,0.01203,0.000905463,0.000905463,0.000905463
12,1217.09,0.80477,0.83303,0.00921,0.8099,0.76634,0.8548,0.67441,0.83878,0.94096,0.01277,0.000886404,0.000886404,0.000886404
13,1307.59,0.76345,0.79543,0.00884,0.87968,0.88137,0.93602,0.75855,0.75866,0.6586,0.01106,0.000865839,0.000865839,0.000865839
14,1399.53,0.79107,0.75853,0.00906,0.85679,0.83235,0.92865,0.73687,0.8101,0.70898,0.01138,0.000843851,0.000843851,0.000843851
15,1491.42,0.84391,0.78716,0.00996,0.80624,0.8667,0.90536,0.73141,0.82829,0.63825,0.01218,0.000820525,0.000820525,0.000820525
16,1583.8,0.73672,0.73062,0.00881,0.87857,0.84335,0.93469,0.7205,0.89384,0.61408,0.012,0.000795954,0.000795954,0.000795954
17,1686.74,0.76528,0.66369,0.0084,0.87035,0.86014,0.9162,0.72172,0.86247,0.67899,0.01332,0.000770234,0.000770234,0.000770234
18,1795.88,0.7254,0.63482,0.0094,0.83393,0.86014,0.91573,0.70649,0.99387,0.6288,0.01464,0.000743468,0.000743468,0.000743468
